report_month,program,individuals,source_file
2025-05-01,CLASS,94323,interest-list-data-may-2025.xlsx
2025-05-01,DBMD,2162,interest-list-data-may-2025.xlsx
2025-05-01,HCS,126167,interest-list-data-may-2025.xlsx
2025-05-01,MDCP,6993,interest-list-data-may-2025.xlsx
2025-05-01,STAR_PLUS_HCBS,8813,interest-list-data-may-2025.xlsx
2025-05-01,TXHML,114553,interest-list-data-may-2025.xlsx
2025-06-01,CLASS,94918,interest-list-data-june-2025.xlsx
2025-06-01,DBMD,2226,interest-list-data-june-2025.xlsx
2025-06-01,HCS,126897,interest-list-data-june-2025.xlsx
2025-06-01,MDCP,7294,interest-list-data-june-2025.xlsx
2025-06-01,STAR_PLUS_HCBS,11125,interest-list-data-june-2025.xlsx
2025-06-01,TXHML,115306,interest-list-data-june-2025.xlsx
2025-07-01,CLASS,95499,interest-list-data-july-2025.xlsx
2025-07-01,DBMD,2272,interest-list-data-july-2025.xlsx
2025-07-01,HCS,127448,interest-list-data-july-2025.xlsx
2025-07-01,MDCP,7588,interest-list-data-july-2025.xlsx
2025-07-01,STAR_PLUS_HCBS,13412,interest-list-data-july-2025.xlsx
2025-07-01,TXHML,115886,interest-list-data-july-2025.xlsx
2025-08-01,CLASS,96212,interest-list-data-aug-2025.xlsx
2025-08-01,DBMD,2324,interest-list-data-aug-2025.xlsx
2025-08-01,HCS,128111,interest-list-data-aug-2025.xlsx
2025-08-01,MDCP,7875,interest-list-data-aug-2025.xlsx
2025-08-01,STAR_PLUS_HCBS,15689,interest-list-data-aug-2025.xlsx
2025-08-01,TXHML,116551,interest-list-data-aug-2025.xlsx
2025-09-01,CLASS,96366,interest-list-data-sept-2025.xlsx
2025-09-01,DBMD,2332,interest-list-data-sept-2025.xlsx
2025-09-01,HCS,128401,interest-list-data-sept-2025.xlsx
2025-09-01,MDCP,7686,interest-list-data-sept-2025.xlsx
2025-09-01,STAR_PLUS_HCBS,15608,interest-list-data-sept-2025.xlsx
2025-09-01,TXHML,116707,interest-list-data-sept-2025.xlsx
2025-10-01,CLASS,96424,interest-list-data-oct-2025.xlsx
2025-10-01,DBMD,2346,interest-list-data-oct-2025.xlsx
2025-10-01,HCS,129013,interest-list-data-oct-2025.xlsx
2025-10-01,MDCP,7457,interest-list-data-oct-2025.xlsx
2025-10-01,STAR_PLUS_HCBS,15970,interest-list-data-oct-2025.xlsx
