bill_code,program,service_category,service_description,bill_description,is_cds,is_facility_based,funding_authority,unit_measure,units,payment,current_rate,attendant_cost,attendant_cost_pct,attendant_hours_per_unit,wage_required,rate_after_increase,rate_effective_date,sfy26_est_hours,sfy27_est_hours
717CVG0746,FC,CAS/FC/PHC PAS,CDS CAS/FC/PAS/PHC NON-PRIORITY,PARTICIPANT PAS FAMILY CARE (CDS) LVL 1 (NON-PRIORITY) ,True,False,Title XX,1 hour,231980.7,231980.7,13.04,11.769999999999998,0.90260736196319,1.0,10.64,13.04,2023-09-01 00:00:00,17789.93,17789.93
T2031HKHE,HCBS-AMH,Assisted Living,Assisted Living Services,Assisted Living Services,False,True,1915(i) State Plan (Title XIX),1 day,171.0,5381.37,33.4,19.87,0.5949101796407186,2.51,17.950000000000003,33.4,2023-09-01 00:00:00,429.21,429.21
H2013HKHE,HCBS-AMH,SL/RSS,Supervised Living Services,Supervised Living Services,False,False,1915(i) State Plan (Title XIX),"1 day = 18 hours, excluding 6 hours for Day Hab",99876.0,14691021.05,147.12,76.94376000000001,0.523,7.37,69.49000000000001,147.12,2014-05-01 00:00:00,736086.12,736086.12
S5130HKHE,HCBS-AMH,PAS/HAB,Supported Home Living,Supported Home Living,False,False,1915(i) State Plan (Title XIX),15 minutes,9290.0,64145.7,5.6,4.619999999999999,0.825,0.25,4.18,5.6,2021-04-01 00:00:00,2322.5,2322.5
2110CFCM0354,HCS,PAS/HAB,PAS/HAB (CFC) and Transportation,CFC PAS/HAB LOC 1,False,False,State Plan (Title XIX),1 hour,1668316.38,31345023.69,18.36,15.15,0.8251633986928105,1.0,13.69,18.36,2023-09-01 00:00:00,1754902.0,1754902.0
2110CFCM0366,HCS,PAS/HAB,PAS/HAB (CFC) and Transportation,CFC PAS/HAB LOC 8,False,False,State Plan (Title XIX),1 hour,21089.25,393767.36,18.36,15.15,0.8251633986928105,1.0,13.69,18.36,2023-09-01 00:00:00,22183.78,22183.78
2110CFVM0355,HCS,PAS/HAB,CDS PAS/HAB (CFC) and Transportation,CFC PAS/HAB (CDS) LOC 1,True,False,State Plan (Title XIX),1 hour,61516838.41,61516838.41,22.84,18.84,0.8248686514886164,1.0,17.020000000000003,22.84,2023-09-01 00:00:00,2833168.23,2833168.23
2110CFVM0367,HCS,PAS/HAB,CDS PAS/HAB (CFC) and Transportation,CFC PAS/HAB (CDS) LOC 8,True,False,State Plan (Title XIX),1 hour,750317.56,750317.56,22.84,18.84,0.8248686514886164,1.0,17.020000000000003,22.84,2023-09-01 00:00:00,34556.0,34556.0
2111XM0143,HCS,In Home Respite,In Home Respite,HOURLY RESPITE LOC 1 IN-HOME,False,False,1915(c) waiver,1 hour,92440.99,1794840.7,20.0,11.77,0.5885,1.0,10.64,20.0,2023-09-01 00:00:00,97238.68,97238.68
2111XM0144,HCS,In Home Respite,In Home Respite,HOURLY RESPITE LOC 8 IN-HOME,False,False,1915(c) waiver,1 hour,12.75,256.79,20.0,11.77,0.5885,1.0,10.64,20.0,2023-09-01 00:00:00,13.41,13.41
2111XM0850,HCS,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE LOC 1 IN A DH FACILITY,False,False,1915(c) waiver,1 hour,56.75,1142.95,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,59.7,59.7
2111XM0855,HCS,In Home Respite,In Home Respite,HOURLY RESPITE LOC 1 WHERE SL OR RSS IS PROVIDED,False,False,1915(c) waiver,1 hour,1007.75,19883.73,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,1060.05,1060.05
2111XM0860,HCS,In Home Respite,In Home Respite,HOURLY RESPITE LOC 1 WHERE HH/CC IS PROVIDED,False,False,1915(c) waiver,1 hour,3301.25,64418.94,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,3472.58,3472.58
2111XM0865,HCS,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE LOC 1 IN A SETTING NOT LISTED ,False,False,1915(c) waiver,1 hour,13075.5,258407.19,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,13754.12,13754.12
2111XM0867,HCS,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE LOC 1 IN A CAMP,False,False,1915(c) waiver,1 hour,296.75,5753.73,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,312.15,312.15
2111XM0869,HCS,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE LOC 1 IN A RESPITE FACILITY,False,False,1915(c) waiver,1 hour,889.75,17549.64,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,935.93,935.93
2111XVM0145,HCS,In Home Respite,CDS In Home Respite,HOURLY RESPITE LOC 1 IN-HOME (CDS),True,False,1915(c) waiver,1 hour,2904386.91,2904386.91,19.0,11.77,0.6194736842105263,1.0,10.64,19.0,2023-09-01 00:00:00,160796.03,160796.03
2111XVM0146,HCS,In Home Respite,CDS In Home Respite,HOURLY RESPITE LOC 8 IN-HOME (CDS),True,False,1915(c) waiver,1 hour,15184.8,15184.8,19.0,11.77,0.6194736842105263,1.0,10.64,19.0,2023-09-01 00:00:00,840.68,840.68
2111XVM0873,HCS,In Home Respite,CDS In Home Respite,HOURLY RESPITE LOC 1 WHERE SL OR RSS IS PROVIDED (CDS),True,False,1915(c) waiver,1 hour,4470.52,4470.52,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,262.86,262.86
2111XVM0877,HCS,Out of Home Respite,CDS Out-of-Home Respite,HOURLY RESPITE LOC 1 IN A SETTING NOT LISTED (CDS),True,False,1915(c) waiver,1 hour,47504.01,47504.01,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,2793.15,2793.15
2111XVM1091,HCS,Out of Home Respite,CDS Out-of-Home Respite,HOURLY RESPITE LOC 1 IN-CAMP (CDS),True,False,1915(c) waiver,1 hour,16810.83,16810.83,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,988.45,988.45
2111XVM1092,HCS,Out of Home Respite,CDS Out-of-Home Respite,HOURLY RESPITE LOC 8 IN-CAMP (CDS),True,False,1915(c) waiver,1 hour,1073.4,1073.4,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,63.11,63.11
2123M0977,HCS,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 On-Site,False,False,1915(c) waiver,1 hour,1427421.5,9335574.56,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,420421.31,420421.31
2123M0978,HCS,ISS,Individualized Skills and Socialization LON 1 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 1 Off-Site,False,False,1915(c) waiver,1 hour,163325.5,1543476.67,9.45,1.76,0.18624338624338627,0.13,1.6,9.45,2023-01-01 00:00:00,44668.54,44668.54
2123M0979,HCS,ISS,Individualized Skills and Socialization LON 1 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 1 Off-Site (Enhanced) LVL 1,False,False,1915(c) waiver,1 hour,134.0,2067.65,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,140.95,140.95
2123M0980,HCS,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,23617.5,154460.01,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,6956.11,6956.11
2123M0981,HCS,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 On-Site,False,False,1915(c) waiver,1 hour,3512457.75,26273183.97,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,1477901.72,1477901.72
2123M0982,HCS,ISS,Individualized Skills and Socialization LON 5 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 5 Off-Site,False,False,1915(c) waiver,1 hour,375649.25,3549978.69,9.45,1.76,0.18624338624338627,0.13,1.6,9.45,2023-01-01 00:00:00,102737.82,102737.82
