report_month,program,years_on_list_bucket,individuals,percent_of_program_total,source_file
2023-11-01,HCS,2–3,6221,0.0528197,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,3–4,6564,0.055732,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,4–5,8439,0.0716518,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,5–6,8390,0.0712357,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,6–7,8414,0.0714395,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,7–8,8634,0.0733074,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,8–9,7529,0.0639254,interest-list-data-nov-2023.xlsx
2023-11-01,HCS,9–10,6671,0.0566405,interest-list-data-nov-2023.xlsx
2023-11-01,MDCP,0–1,2015,0.3284969,interest-list-data-nov-2023.xlsx
2023-11-01,MDCP,1–2,2833,0.461852,interest-list-data-nov-2023.xlsx
2023-11-01,MDCP,2–3,1284,0.2093251,interest-list-data-nov-2023.xlsx
2023-11-01,MDCP,5–6,2,0.0003261,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,0–1,4945,0.9947697,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,1–2,5,0.0010058,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,2–3,2,0.0004023,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,4–5,10,0.0020117,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,5–6,1,0.0002012,interest-list-data-nov-2023.xlsx
2023-11-01,STAR_PLUS_HCBS,7–8,8,0.0016093,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,0–1,6219,0.0582243,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,10–11,7020,0.0657236,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,11–12,7770,0.0727453,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,12–13,7612,0.0712661,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,13–14,7741,0.0724738,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,14–15,3108,0.0290981,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,15–16,1,9.4e-06,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,1–2,5842,0.0546947,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,2–3,6219,0.0582243,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,3–4,6647,0.0622314,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,4–5,8585,0.0803756,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,5–6,8573,0.0802633,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,6–7,8627,0.0807688,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,7–8,8811,0.0824915,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,8–9,7253,0.067905,interest-list-data-nov-2023.xlsx
2023-11-01,TXHML,9–10,6783,0.0635047,interest-list-data-nov-2023.xlsx
2023-12-01,CLASS,0–1,2569,0.0311859,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,10–11,4723,0.057334,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,11–12,5138,0.0623718,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,12–13,5929,0.071974,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,13–14,6701,0.0813455,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,14–15,5836,0.070845,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,15–16,5075,0.061607,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,16–17,6,7.28e-05,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,17–18,1,1.21e-05,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,1–2,4072,0.0494313,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,2–3,4792,0.0581716,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,3–4,4091,0.0496619,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,4–5,6143,0.0745718,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,5–6,5868,0.0712335,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,6–7,6185,0.0750816,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,7–8,5582,0.0677616,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,8–9,5039,0.06117,interest-list-data-dec-2023.xlsx
2023-12-01,CLASS,9–10,4627,0.0561686,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,0–1,342,0.1915966,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,11–12,1,0.0005602,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,15–16,1,0.0005602,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,1–2,325,0.1820728,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,2–3,232,0.129972,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,3–4,271,0.1518207,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,4–5,240,0.1344538,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,5–6,158,0.0885154,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,6–7,120,0.0672269,interest-list-data-dec-2023.xlsx
2023-12-01,DBMD,7–8,95,0.0532213,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,0–1,5804,0.0491977,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,10–11,6773,0.0574114,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,11–12,7721,0.0654472,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,12–13,7622,0.064608,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,13–14,8015,0.0679393,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,14–15,7113,0.0602935,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,15–16,5656,0.0479432,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,16–17,2400,0.0203436,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,1–2,5980,0.0506896,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,2–3,6214,0.0526731,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,3–4,6461,0.0547668,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,4–5,8479,0.0718724,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,5–6,8305,0.0703975,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,6–7,8413,0.0713129,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,7–8,8682,0.0735931,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,8–9,7594,0.0643707,interest-list-data-dec-2023.xlsx
2023-12-01,HCS,9–10,6741,0.0571402,interest-list-data-dec-2023.xlsx
2023-12-01,MDCP,0–1,1908,0.3343849,interest-list-data-dec-2023.xlsx
2023-12-01,MDCP,1–2,2862,0.5015773,interest-list-data-dec-2023.xlsx
2023-12-01,MDCP,2–3,933,0.1635121,interest-list-data-dec-2023.xlsx
2023-12-01,MDCP,3–4,1,0.0001753,interest-list-data-dec-2023.xlsx
2023-12-01,MDCP,5–6,2,0.0003505,interest-list-data-dec-2023.xlsx
2023-12-01,STAR_PLUS_HCBS,0–1,3876,0.9855072,interest-list-data-dec-2023.xlsx
2023-12-01,STAR_PLUS_HCBS,1–2,38,0.0096618,interest-list-data-dec-2023.xlsx
